,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,ID,gr_engine_active,sm_active,sm_occupancy,dram_active,fp64_active,fp32_active,fp16_active,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,MCUTL,MUSAM,GUSAM,power_usage,TOTEC,pstate,gpu_temp,memory_temp,sm_clock,run_time,application,sm_app_clock,fp_active,predicted_power_usage,n_run_time,predicted_n_run_time,energy,n_energy,predicted_n_energy
13,13,13,13,0.0,0.76982707,0.6840029,0.4623372,0.041135266,0.00458744,0.22374058,0.0,64233781.99951691,362827507.3236715,75.71449,4.9140096,4.864251,75.21546,168.31105,2647.9817125603868,0.0,37.371983,47.49565,1215.0,16.286891999999998,NAMD,1215,0.11645773,156.67522,0.5441232528356101,0.53343683,2741.2638937565994,91.58195601417701,83.5763334502995
14,14,14,14,0.0,0.7754611,0.68762887,0.46530935,0.040959146,0.0045539886,0.22710116,0.0,70841362.86429961,433532025.94601166,75.97957,4.8920236,4.8740273,75.62062,163.49911,2634.1754785992216,0.0,36.643482,47.15078,1200.0,16.636915666666667,NAMD,1200,0.1181045686,154.03583,0.5558170748414364,0.5349214,2720.1209046450567,90.87559705937824,82.39706301977397
15,15,15,15,0.0,0.75159013,0.6657263,0.44978532,0.039286245,0.004430762,0.2201157,0.0,103233967.67193308,219685872.9186803,75.738846,4.8773236,4.4958177,75.139404,157.57933,2590.795341542751,0.0,36.118496,46.92379,1185.0,17.076835,NAMD,1185,0.114488612,149.37315,0.5705141906962358,0.5379715,2690.9562178205497,89.90124392540507,80.35849705467224
16,16,16,16,0.0,0.77445376,0.6938278,0.46766213,0.039844204,0.004524167,0.22697373,0.0,62949823.929141246,369830672.1492257,76.01924,4.8958235,4.8493667,75.36743,157.02773,2553.417806663538,0.0,35.8733,46.858753,1170.0,16.905336333333334,NAMD,1170,0.118011032,149.3797,0.5647846498873672,0.53904706,2654.6065893098566,88.68685151065802,80.52268846674562
17,17,17,17,0.0,0.7831742,0.6924508,0.46825403,0.039853916,0.004568273,0.22853614,0.0,52376699.35692771,278045108.9136546,76.684235,4.9046183,4.812751,76.13504,153.27838,2506.1354216867467,0.0,35.538654,46.632027,1155.0,16.97368133333333,NAMD,1155,0.118836343,148.24203,0.5670679648203236,0.54013515,2601.698377409573,86.9192589975562,80.07073039692163
18,18,18,18,0.0,0.7874281,0.6978745,0.47266376,0.039512753,0.0046438775,0.2295857,0.0,42876020.0127551,218541810.6780612,77.13827,4.9015307,4.7198977,76.67449,150.14491,2487.6032413265307,0.0,34.94592,46.60255,1140.0,17.183570333333332,NAMD,1140,0.1194367275,147.21399,0.5740800752594678,0.5439832,2580.0256211770034,86.19520123262602,80.0819404644227
19,19,19,19,0.0,0.78175384,0.694428,0.46955726,0.038769532,0.004658968,0.22922899,0.0,51345340.26191646,284122787.03636366,76.47568,4.8692875,4.412285,75.97641,146.95207,2476.235964619165,0.0,34.668304,46.418674,1125.0,17.394165,NAMD,1125,0.119273463,145.9197,0.5811157610770258,0.548831,2556.10855267155,85.39616399989437,80.08525283117295
20,20,20,20,0.0,0.785107,0.6991066,0.47400326,0.038630527,0.004640763,0.23125453,0.0,70216454.36807817,436888885.6700791,77.1168,4.8915772,4.208469,76.52117,146.37337,2469.321573289902,0.0,34.574684,46.273617,1110.0,17.513176666666666,NAMD,1110,0.12026802800000001,145.29655,0.5850917814983593,0.5554344,2563.4626881053664,85.6418558172185,80.70270291457474
21,21,21,21,0.0,0.7819926,0.69230753,0.46910977,0.03786707,0.0047100508,0.22998425,0.0,57152519.93654469,328978763.6368689,76.799904,4.8777213,3.9958315,76.205185,143.62065,2476.687577119036,0.0,34.32978,46.04122,1095.0,17.698927333333334,NAMD,1095,0.1197021758,143.85362,0.591297462543156,0.56355697,2541.9314479161003,84.92252591379872,81.069710090729
22,22,22,22,0.0,0.7853171,0.6974519,0.47108477,0.037735563,0.00476077,0.23278597,0.0,49166930.16361137,265903817.31622365,77.25573,4.908799,3.9770854,76.781395,143.40195,2485.0233538038497,0.0,34.295143,46.1187,1080.0,17.888800999999997,NAMD,1080,0.121153755,143.51404,0.5976408874970691,0.5716414,2565.2889465619496,85.70286866681033,82.03856467223406
23,23,23,23,0.0,0.7915989,0.7071354,0.47757274,0.037335016,0.004838458,0.23494217,0.0,40341940.75631023,204646133.1234511,77.903625,4.8972006,3.9495182,77.36072,143.15465,2493.876441945846,0.0,34.204224,46.08123,1065.0,17.968673,NAMD,1065,0.122309543,143.12978,0.6003093040648517,0.58023185,2572.29909427945,85.93706831514743,83.0484563780725
24,24,24,24,0.0,0.78558135,0.702149,0.47510296,0.03663599,0.0047881547,0.23247562,0.0,68475478.47562642,424928816.8523918,77.04784,4.8637815,3.9134398,76.45877,141.1287,2495.845696583144,0.0,33.846924,45.910706,1050.0,18.26733966666667,NAMD,1050,0.1210259647,141.37,0.6102873574700218,0.5902926,2578.0458996151006,86.12906138617947,83.44966104149819
25,25,25,25,0.0,0.7895169,0.6998407,0.47438627,0.036526617,0.004906731,0.23343115,0.0,60026763.28024637,359282038.0070391,77.4549,4.858337,3.91641,76.97844,139.75745,2500.453076550814,0.0,33.743073,45.82534,1035.0,18.343172666666664,NAMD,1035,0.121622306,140.68556,0.6128208364562078,0.59757274,2563.595036803033,85.64627740998664,84.06985611527682
26,26,26,26,0.0,0.79604465,0.71011376,0.4803867,0.036223534,0.004909886,0.23582633,0.0,67642014.67366579,420660137.2935258,78.111984,4.8696413,3.9295714,77.59011,139.45798,2542.325929133858,0.0,33.70429,45.7839,1020.0,19.019218666666667,NAMD,1020,0.122823051,140.04277,0.6354066280600635,0.60398006,2652.3818164316267,88.61252482786777,84.58304124224662
27,27,27,27,0.0,0.7995358,0.71288127,0.482462,0.035705525,0.0049443007,0.23668566,0.0,53871706.900690846,311793471.64896375,78.43394,4.8471503,3.9119172,77.742226,138.41766,2494.5275077720207,0.0,33.659325,45.854923,1005.0,18.51668133333333,NAMD,1005,0.1232871307,139.16618,0.6186175286735957,0.6099582,2563.0357011256797,85.62759075398202,84.88554873538017
28,28,28,28,0.0,0.7942696,0.70741415,0.4772518,0.035006784,0.0048639253,0.23611997,0.0,57899059.99152183,340058388.01229334,78.02798,4.7477746,3.8965664,77.49131,137.25272,2504.235608308605,0.0,33.533276,45.68249,990.0,18.833208666666668,NAMD,990,0.12292391030000001,137.84995,0.6291922830358593,0.61631626,2584.9091158275737,86.35835224968154,84.95916547456086
29,29,29,29,0.0,0.79260695,0.70084524,0.4729954,0.034626678,0.004875,0.2351078,0.0,58841230.94379195,349720909.23280203,78.01174,4.3691278,3.9165268,77.43372,135.66988,2515.3241514261745,0.0,33.46099,45.697147,975.0,19.10500633333333,NAMD,975,0.12242890000000001,136.54727,0.6382726791298343,0.62504864,2591.973916642573,86.59437778482312,85.3486850528431
30,30,30,30,0.0,0.80066586,0.7085701,0.47876784,0.034326617,0.004875735,0.23964442,0.0,39775622.84550798,195434123.17632243,78.89757,4.088161,3.9147775,78.42149,134.98257,2514.165706129303,0.0,33.329136,45.75147,960.0,19.144001,NAMD,960,0.124697945,136.67831,0.639575438727547,0.6329894,2584.10645506257,86.33153642832183,86.51592234003544
31,31,31,31,0.0,0.6922504,0.6187981,0.41801426,0.029240616,0.0041595344,0.20620233,0.0,412695420.0007508,289245038.3603604,80.230484,3.5716968,3.15015,79.774025,124.19606,2784.482922672673,0.0,32.301052,45.420044,945.0,22.61350833333333,NAMD,945,0.10726069939999999,127.04042,0.7554870329071077,0.658558,2808.5086377771663,93.82851286815313,83.66348631879092
32,32,32,32,0.0,0.8018808,0.7110178,0.4821552,0.033425625,0.0049438155,0.23825385,0.0,66576379.437348425,419359169.932498,79.08367,3.946241,3.911075,78.52183,132.57603,2550.794767582862,0.0,32.731205,45.57114,930.0,19.663169666666665,NAMD,930,0.1240707405,134.39691,0.6569201686905745,0.652076,2606.86497162309,87.09186799192666,87.63700028289556
33,33,33,33,0.0,0.8147649,0.73041695,0.4923867,0.03338105,0.004954032,0.24335241,0.0,66110508.09112904,408482333.9745968,80.09879,3.9346774,3.8923388,79.57984,132.28052,2538.793496370968,0.0,32.809273,45.635887,915.0,19.662921666666666,NAMD,915,0.126630237,134.4345,0.6569118833426576,0.65971375,2601.021502785933,86.89664552274608,88.68828746795656
34,34,34,34,0.0,0.8078442,0.7194749,0.48694345,0.032612495,0.0049019377,0.24028192,0.0,47286335.05298537,260409673.55318308,79.55121,3.942665,3.865164,78.725586,130.7646,2568.7465349940685,0.0,32.782917,45.626335,900.0,20.07098633333333,NAMD,900,0.12504289770000002,132.64223,0.6705447774389619,0.6724149,2624.5744994837996,87.68351960389488,89.19061167165638
35,35,35,35,0.0,0.8104409,0.72237664,0.4870595,0.03220791,0.005012138,0.2454859,0.0,63295631.03523884,397968159.6483947,79.801094,3.945184,3.8876274,79.28387,130.33391,2607.0577662490214,0.0,32.77643,45.698513,885.0,20.334423,NAMD,885,0.12775508800000002,132.61565,0.679345843718694,0.6868644,2650.2648571839304,88.54180005410633,91.08896569411753
36,36,36,36,0.0,0.8154629,0.7281259,0.49240512,0.03203902,0.0049812547,0.24447131,0.0,63197233.87872992,391621582.1289212,80.13313,3.9296098,3.9013007,79.640396,129.31331,2571.7842968630453,0.0,32.702755,45.604053,870.0,20.308843666666665,NAMD,870,0.1272169097,131.50244,0.6784912724439105,0.70273304,2626.203796809203,87.73795224583385,92.4111094096756
37,37,37,37,0.0,0.8156775,0.7250808,0.48939908,0.031305246,0.0050509386,0.24312945,0.0,38313100.0382995,184152669.7230946,80.37725,3.930678,3.7560322,79.82574,128.13461,2613.549129835312,0.0,32.70931,45.62926,855.0,20.711249,NAMD,855,0.1266156636,130.37665,0.6919350957916512,0.71946067,2653.82781322789,88.66083364457587,93.80087146327199
38,38,38,38,0.0,0.8183456,0.73385245,0.49643537,0.030776046,0.004992015,0.24501711,0.0,37799748.570342205,189241155.36654,80.527374,3.936502,3.5577946,79.99126,127.1818,2633.9688015209126,0.0,32.54487,45.53156,840.0,21.11528133333333,NAMD,840,0.12750057,129.75456,0.7054332750307652,0.73349524,2685.4794874797326,89.71827369830778,95.17435153701783
39,39,39,39,0.0,0.8245092,0.7353358,0.49552575,0.030763445,0.005049267,0.24934788,0.0,43213821.92628808,236826191.4870252,81.11583,3.9240315,3.3572772,80.46747,126.85368,2659.519742760436,0.0,32.321926,45.38586,825.0,21.24437233333333,NAMD,825,0.129723207,129.5226,0.7097460324820828,0.74609494,2694.92680977352,90.03389608575173,96.63615674672127
